Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes tb2_glb_snc_sap_wdeg_cputime tb2_glb_snc_sap_wdeg_bestsol tb2_glb_snc_sap_wdeg_status tb2_glb_snc_sap_wdeg_bestbound tb2_glb_snc_sap_wdeg_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes
esc32d 32 13 529 32 1200 200 FEAS 110 5989073 1200 202 FEAS 106 9778410 1200 200 FEAS 106 10329774 1200 200 FEAS 106 10329774 1200 202 FEAS 106 9767764 1200 200 FEAS 106 9920411 1200 208.0 FEAS 6.0 1395136 1200 200 FEAS 0 180274171
esc32e 32 6 529 32 0.176 2 OPT 2 135 834.629 2 OPT 2 44596167 731.492 2 OPT 2 33569439 731.492 2 OPT 2 33569439 837.759 2 OPT 2 44596167 750.926 2 OPT 2 32966476 1.61467 2.0 OPT 2.0 96403 1200 2 FEAS 0 335719890
esc32g 32 7 529 32 0.526 6 OPT 6 9041 53.169 6 OPT 6 2435038 29.535 6 OPT 6 1237252 29.535 6 OPT 6 1237252 53.655 6 OPT 6 2435038 28.394 6 OPT 6 1129745 2.08366 6.0 OPT 6.0 72415 1200 6 FEAS 0 336487120
esc32h 32 14 529 32 1200 438 FEAS 274 10574570 1200 438 FEAS 324 5624472 1200 438 FEAS 330 6219875 1200 438 FEAS 330 6219875 1200 438 FEAS 319 5827713 1200 440 FEAS 320 6477082 1200 470.0 FEAS 0.0 771856 1200 438 FEAS 0 126921783
esc64a 64 15 2081 64 1200 116 FEAS 47 4619046 1200 116 FEAS 47 10126016 1200 116 FEAS 47 11389560 1200 116 FEAS 47 11389560 1200 116 FEAS 47 10330189 1200 116 FEAS 47 11395503 1200 116.0 FEAS 0.0 3389861 1200 116 FEAS 0 214531659
had12 12 12 79 12 0.238 1652 OPT 1652 2489 0.162 1652 OPT 1652 2329 0.115 1652 OPT 1652 1466 0.119 1652 OPT 1652 1466 0.187 1652 OPT 1652 2366 0.157 1652 OPT 1652 1937 1200 1660.0 FEAS 1622.0 1359800 1200 1652 FEAS 0 150880179
had14 14 14 106 14 1.616 2724 OPT 2724 15099 1.099 2724 OPT 2724 10672 0.85 2724 OPT 2724 8686 1.104 2724 OPT 2724 9138 0.712 2724 OPT 2724 5037 0.523 2724 OPT 2724 3819 1200 2744.0 FEAS 820.0 595930 1200 2724 FEAS 0 126990072
had16 16 16 137 16 102.093 3720 OPT 3720 800939 63.964 3720 OPT 3720 476648 38.912 3720 OPT 3720 293750 37.676 3720 OPT 3720 220360 39.652 3720 OPT 3720 263677 17.316 3720 OPT 3720 105425 1200 3720.0 FEAS 928.0 366079 1200 3720 FEAS 0 109545086
had18 18 18 172 18 1200 5358 FEAS 5128 6466200 1200 5360 FEAS 5107 6695150 1095.351 5358 OPT 5358 6349035 1200 5358 FEAS 5186 5074255 1200 5358 FEAS 5141 6398251 1200 5358 FEAS 5187 6021824 1200 5376.0 FEAS 1306.0 390014 1200 5358 FEAS 0 95507533
had20 20 20 211 20 1200 6922 FEAS 6595 4621966 1200 6928 FEAS 6554 4940309 1200 6922 FEAS 6568 5755411 1200 6926 FEAS 6560 3939827 1200 6924 FEAS 6591 4803497 1200 6924 FEAS 6604 4603101 1200 6974.0 FEAS 1606.0 381572 1200 6922 FEAS 0 90540374
kra30a 30 30 466 30 1200 92000 FEAS 74160 1302501 1200 91490 FEAS 72127 1220215 1200 91000 FEAS 72319 1347644 1200 90720 FEAS 72471 1104668 1200 91770 FEAS 73974 913356 1200 92370 FEAS 73844 1024301 1200 99240.0 FEAS 0.0 132586 1200 88900 FEAS 0 61042289
kra30b 30 30 466 30 1200 92750 FEAS 74539 1093072 1200 93390 FEAS 73286 1370036 1200 93550 FEAS 73218 1654571 1200 93240 FEAS 73060 1325029 1200 93390 FEAS 74847 980581 1200 92860 FEAS 74797 1135491 1200 98570.0 FEAS 0.0 142688 1200 91420 FEAS 0 58430105
kra32 32 28 529 32 1200 93170 FEAS 72472 1008828 1200 91620 FEAS 69660 1844061 1200 91520 FEAS 69670 2012028 1200 91520 FEAS 69670 2012028 1200 92860 FEAS 72305 1526311 1200 92100 FEAS 72170 1554522 1200 92820.0 FEAS 36400.0 834727 1200 88700 FEAS 0 126656911
lipa20a 20 20 211 20 1.121 3683 OPT 3683 3311 0.297 3683 OPT 3683 2163 0.112 3683 OPT 3683 382 0.238 3683 OPT 3683 1424 0.184 3683 OPT 3683 409 0.159 3683 OPT 3683 232 1200 3683.0 FEAS 436.0 403467 1200 3683 FEAS 0 88237288
lipa20b 20 20 211 20 0.354 27076 OPT 27076 20 0.158 27076 OPT 27076 21 0.147 27076 OPT 27076 21 0.148 27076 OPT 27076 21 0.233 27076 OPT 27076 21 0.219 27076 OPT 27076 21 1200 27076.0 FEAS 3996.0 387279 1200 27076 FEAS 0 88364545
lipa30a 30 29 466 30 6.992 13178 OPT 13178 13191 10.735 13178 OPT 13178 40303 56.014 13178 OPT 13178 170889 56.014 13178 OPT 13178 170889 7.008 13178 OPT 13178 19009 10.678 13178 OPT 13178 38659 1200 13456.0 FEAS 441.0 219533 1200 13178 FEAS 0 60154958
lipa30b 30 30 466 30 1.74 151426 OPT 151426 32 0.816 151426 OPT 151426 31 0.756 151426 OPT 151426 31 0.769 151426 OPT 151426 31 1.029 151426 OPT 151426 30 0.966 151426 OPT 151426 30 1200 180793.0 FEAS 3786.0 151650 1200 151426 FEAS 0 60297008
lipa40a 40 40 821 40 25.09 31538 OPT 31538 12544 3.613 31538 OPT 31538 5268 4.81 31538 OPT 31538 7729 7.109 31538 OPT 31538 16788 4.281 31538 OPT 31538 6733 3.17 31538 OPT 31538 3287 1200 32198.0 FEAS 262.0 79674 1200 31895 FEAS 0 41588511
lipa40b 40 40 821 40 5.47 476581 OPT 476581 46 2.935 476581 OPT 476581 45 2.711 476581 OPT 476581 45 2.727 476581 OPT 476581 45 3.682 476581 OPT 476581 43 3.399 476581 OPT 476581 43 1200 587785.0 FEAS 537.0 105435 1200 476581 FEAS 0 43865931
lipa50a 50 50 1276 50 1200 62685 FEAS 62061 811750 185.321 62093 OPT 62093 303334 108.252 62093 OPT 62093 245422 269.592 62093 OPT 62093 422790 57.611 62093 OPT 62093 65554 90.77 62093 OPT 62093 189151 1200 63557.0 FEAS 6.0 29268 1200 62730 FEAS 0 35563904
lipa50b 50 50 1276 50 14.901 1210244 OPT 1210244 61 8.16 1210244 OPT 1210244 58 7.657 1210244 OPT 1210244 58 7.724 1210244 OPT 1210244 58 10.252 1210244 OPT 1210244 54 9.675 1210244 OPT 1210244 54 1200 1510521.0 FEAS 186.0 28033 1200 1210244 FEAS 0 32794547
lipa60a 60 60 1831 60 1200 107908 FEAS 107156 378124 96.261 107218 OPT 107218 115967 304.726 107218 OPT 107218 479057 158.444 107218 OPT 107218 204435 22.148 107218 OPT 107218 13522 21.663 107218 OPT 107218 15066 1200 109437.0 FEAS 2.0 8971 1200 108188 FEAS 0 27943401
lipa60b 60 60 1831 60 35.076 2520135 OPT 2520135 72 13.067 2520135 OPT 2520135 69 11.907 2520135 OPT 2520135 69 12.127 2520135 OPT 2520135 69 17.546 2520135 OPT 2520135 68 16.246 2520135 OPT 2520135 68 1200 3214082.0 FEAS 82.0 4685 1200 2989726 FEAS 0 27498279
lipa70a 70 70 2486 70 1200 171064 FEAS 169632 322239 1200 169833 FEAS 169754 611722 1073.522 169755 OPT 169755 812918 1200 171148 FEAS 169751 1055451 182.724 169755 OPT 169755 82711 802.577 169755 OPT 169755 434799 1200 ? UNK 2.0 5998 1200 171134 FEAS 0 21420816
lipa70b 70 70 2486 70 69.094 4603200 OPT 4603200 198 25.96 4603200 OPT 4603200 80 23.1 4603200 OPT 4603200 80 24.599 4603200 OPT 4603200 80 35.68 4603200 OPT 4603200 75 33.524 4603200 OPT 4603200 75 1200 ? UNK 109.0 7568 1200 5508080 FEAS 0 22870582
